Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
18	0	16S new 2_2	Sample5-Rep1	-1	10.50332	83.27412		0.9976694	681595.2	0.6640093	2.205183	FALSE	FALSE	FALSE	0.1474819										8	5375.511	1.174486	13.05007	9870.137	94.18958	2.83613		
18	4	16S new 2_2	Sample5-Rep2	-1	10.16812	83.31718		0.9978245	653063.9	0.6496899	2.196924	FALSE	FALSE	FALSE	0.2059387										17	5374.181	1.179637	12.72165	9939.045	92.34803	2.849406		
18	8	16S new 2_2	Sample5-Rep3	-1	10.06437	83.25493		0.9973859	843504.3	0.6253095	2.261005	FALSE	FALSE	FALSE	0.1669825										17	5642.831	1.141327	12.56744	10111.31	108.5067	2.791887		
18	1	16S new 2_2	Sample6-Rep1	-1	9.988446	84.15581		0.9978672	624733.6	0.6564137	2.177234	FALSE	FALSE	FALSE	0.2573902										16	5357.105	1.192187	12.55851	9670.842	107.0518	2.805236		
18	5	16S new 2_2	Sample6-Rep2	-1	10.00063	84.16287		0.9975472	750426.9	0.645424	2.225265	FALSE	FALSE	FALSE	0.2044487										18	5431.561	1.162233	12.53124	9843.996	108.4764	2.81237		
18	9	16S new 2_2	Sample6-Rep3	-1	9.803097	84.11812		0.9972996	734201	0.6421819	2.255062	FALSE	FALSE	FALSE	0.1953485										13	5303.316	1.144727	12.31065	9147.925	111.1885	2.724944		
18	2	16S new 2_2	Sample7-Rep1 	-1	9.803873	84.05189		0.9973437	825158.3	0.6364152	2.260316	FALSE	FALSE	FALSE	0.2056278										15	5509.849	1.14172	12.30747	9878.333	105.1739	2.79285		
18	6	16S new 2_2	Sample7-Rep2	-1	9.819504	83.93105		0.9970754	989329.7	0.6213407	2.289399	FALSE	FALSE	FALSE	0.1842417										15	5629.515	1.125487	12.30172	10287.11	109.3124	2.827352		
18	10	16S new 2_2	Sample7-Rep3	-1	9.600746	83.89826		0.9973117	811045.2	0.6143643	2.303357	FALSE	FALSE	FALSE	0.1945957										18	5837.365	1.117936	12.07302	9533.599	121.7405	2.633203		
18	3	16S new 2_2	Sample8-Rep1	-1	9.772035	84.47525		0.9976799	762264.1	0.6541442	2.230771	FALSE	FALSE	FALSE	0.2464793										13	5902.445	1.158939	12.29831	10009.02	130.9013	2.695742		
18	7	16S new 2_2	Sample8-Rep2	-1	9.644853	84.43695		0.9976432	719982.4	0.627517	2.256872	FALSE	FALSE	FALSE	0.2319684										17	5861.975	1.143688	12.15104	9540.593	135.3977	2.627539		
18	11	16S new 2_2	Sample8-Rep3	-1	9.556735	84.43857		0.9977335	689575.5	0.6194694	2.280887	FALSE	FALSE	FALSE	0.2202526										18	6055.863	1.130167	12.04512	9366.202	151.9861	2.546634		
0	0	16S old 1_1	Sample5-Rep1	-1	11.48421	82.31308		0.9986462	324166.3	0.7180228	1.910931	FALSE	FALSE	FALSE	0.3716826										16	8485.53	1.411274	14.3428	9636.74	101.9237	2.135667		
0	4	16S old 1_1	Sample5-Rep2	-1	11.13028	82.3491		0.9999128	16351.82	0.7351543	1.810409	FALSE	FALSE	FALSE	0.9074945										7	6989.338	1.528938	14.14383	9450.126	1.76871	2.352077		
0	8	16S old 1_1	Sample5-Rep3	-1	11.1822	82.36762		0.9998299	28427.43	0.7255609	1.78646	FALSE	FALSE	FALSE	0.9848805	LowEfficiency									12	6599.352	1.561168	14.23819	9001.002	3.703485	2.363922		
0	1	16S old 1_1	Sample6-Rep1	-1	10.87251	82.43964		0.9996478	80684.95	0.7437837	1.763893	FALSE	FALSE	FALSE	1.59391	LowEfficiency									11	7375.789	1.593296	13.97082	10248.09	22.4079	2.389423		
0	5	16S old 1_1	Sample6-Rep2	-1	10.9429	82.44643		0.9997633	44571.35	0.7451712	1.764354	FALSE	FALSE	FALSE	1.395802	LowEfficiency									9	7093.801	1.592623	14.04032	9409.409	11.79734	2.326427		
0	9	16S old 1_1	Sample6-Rep3	-1	11.08664	82.44202		0.9998298	34734.45	0.7247608	1.8058	FALSE	FALSE	FALSE	0.9873546										18	7188.168	1.534999	14.10817	9685.401	18.75765	2.347409		
0	2	16S old 1_1	Sample7-Rep1 	-1	10.72756	82.57037		0.99979	59032.97	0.711323	1.773302	FALSE	FALSE	FALSE	1.7945	LowEfficiency									8	8233.766	1.579684	13.80794	11224.29	25.20984	2.363203		
0	6	16S old 1_1	Sample7-Rep2	-1	11.03146	82.44276		0.9998293	31799.55	0.7331933	1.791649	FALSE	FALSE	FALSE	1.091775	LowEfficiency									15	6783.885	1.554028	14.07805	9386.16	5.162281	2.383597		
0	10	16S old 1_1	Sample7-Rep3	-1	10.66123	82.56343		0.9999328	14605.44	0.724556	1.787746	FALSE	FALSE	FALSE	1.502144	LowEfficiency									12	7013.938	1.559391	13.71488	9917.632	9.234503	2.413989		
0	3	16S old 1_1	Sample8-Rep1	-1	10.98993	82.43884		0.9997641	49702.3	0.7391227	1.782719	FALSE	FALSE	FALSE	1.238085	LowEfficiency									14	7583.615	1.566372	14.05278	9752.12	29.88176	2.285946		
0	7	16S old 1_1	Sample8-Rep2	-1	10.95148	82.42937		0.9998607	27126.42	0.73983	1.78704	FALSE	FALSE	FALSE	1.195483	LowEfficiency									13	7160.222	1.560365	14.00641	9462.039	16.37673	2.321473		
0	11	16S old 1_1	Sample8-Rep3	-1	10.8903	82.39077		0.9998814	22266.79	0.7096503	1.75627	FALSE	FALSE	FALSE	1.499265	LowEfficiency									13	7351.828	1.604562	14.00344	9250.239	26.7227	2.258223		
43	12	A.baumannii_1535	Sample5-Rep1													"CtIsLarge, MultipleMeltPeaks"																	
43	16	A.baumannii_1535	Sample5-Rep2	-1	32.3553	83.74096		0.9996927	48725.64	0.5809098	1.954957	FALSE	FALSE	FALSE	6.54E-08	CtIsLarge									16	6191.007	1.36715	35.15578	9624.927	38.42131	2.554663		
43	20	A.baumannii_1535	Sample5-Rep3	-1	32.58941	82.74168		0.9999167	14802.61	0.5614616	1.932733	FALSE	FALSE	FALSE	8.98E-08	CtIsLarge									14	6162.857	1.388932	35.41858	10671.24	32.39658	2.731541		
43	13	A.baumannii_1535	Sample6-Rep1													"CtIsLarge, MultipleMeltPeaks"																	
43	17	A.baumannii_1535	Sample6-Rep2													"CtIsLarge, MultipleMeltPeaks"																	
43	21	A.baumannii_1535	Sample6-Rep3													"CtIsLarge, MultipleMeltPeaks"																	
43	14	A.baumannii_1535	Sample7-Rep1 	-1	32.19424	82.92481		0.9998583	18802.68	0.5818846	1.958405	FALSE	FALSE	FALSE	7.16E-08	CtIsLarge									13	5942.698	1.363856	34.99038	9926.101	30.1608	2.670302		
43	18	A.baumannii_1535	Sample7-Rep2													"CtIsLarge, MultipleMeltPeaks"																	
