Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
18	0	16S new 2_2	Sample17-Rep1	-1	10.20757	84.88641		0.9962538	1188519	0.6081913	2.363561	FALSE	FALSE	FALSE	0.08893313										13	6108.557	1.087012	12.63912	9972.045	106.6364	2.632472		
18	4	16S new 2_2	Sample17-Rep2	-1	10.19501	84.88011		0.9963318	1195643	0.6091228	2.331745	FALSE	FALSE	FALSE	0.1061582										21	5946.124	1.103031	12.64766	10132.07	107.9382	2.703979		
18	8	16S new 2_2	Sample17-Rep3	-1	9.999553	84.84473		0.9959043	1332493	0.6033628	2.425165	FALSE	FALSE	FALSE	0.0807153										16	6277.253	1.057881	12.39274	9875.969	125.0711	2.573295		
18	1	16S new 2_2	Sample18-Rep1	-1	9.99195	83.89501		0.9964899	1079841	0.600689	2.343839	FALSE	FALSE	FALSE	0.110952										17	6470.487	1.096859	12.43647	9317.124	166.524	2.439942		
18	5	16S new 2_2	Sample18-Rep2	-1	10.0521	83.89707		0.9966075	1160329	0.6206558	2.348787	FALSE	FALSE	FALSE	0.1105883										17	6348.036	1.094363	12.49333	10038.13	148.9477	2.581296		
18	9	16S new 2_2	Sample18-Rep3	-1	9.866037	83.82552		0.9966676	979682	0.6277846	2.350918	FALSE	FALSE	FALSE	0.1180904										13	6248.867	1.093294	12.30586	9131.372	156.9399	2.461284		
18	2	16S new 2_2	Sample19-Rep1 	-1	9.789967	84.70667		0.9963907	1262306	0.6235821	2.370279	FALSE	FALSE	FALSE	0.1295886										14	6287.43	1.083718	12.21718	10198.73	135.9808	2.622082		
18	6	16S new 2_2	Sample19-Rep2	-1	9.789203	84.69302		0.9964855	1227538	0.6198634	2.392796	FALSE	FALSE	FALSE	0.1163802										13	6379.104	1.072891	12.20215	10120.08	143.4631	2.586443		
18	10	16S new 2_2	Sample19-Rep3	-1	9.702435	84.63108		0.9969794	1004440	0.6119787	2.36272	FALSE	FALSE	FALSE	0.139631										20	6575.402	1.087426	12.13453	9800.669	151.4373	2.490505		
18	3	16S new 2_2	Sample20-Rep1	-1	9.88518	84.59286		0.9968608	962244.6	0.6227871	2.350361	FALSE	FALSE	FALSE	0.1192392										16	6522.563	1.093573	12.32537	9359.255	156.2603	2.434905		
18	7	16S new 2_2	Sample20-Rep2	-1	9.92358	84.55857		0.9969077	945545.9	0.6140143	2.345632	FALSE	FALSE	FALSE	0.116793										20	6584.779	1.095953	12.3669	9291.166	164.6053	2.411006		
18	11	16S new 2_2	Sample20-Rep3	-1	9.810393	84.40718		0.996285	1229042	0.6264551	2.383092	FALSE	FALSE	FALSE	0.1128361										14	6796.984	1.077517	12.22944	9583.935	175.854	2.410028		
0	0	16S old 1_1	Sample17-Rep1	-1	11.54054	82.42469		0.9973469	441758.6	0.4902652	2.220239	FALSE	FALSE	FALSE	0.0370638	SaturationBaselineRatioIsLow									13	8810.716	1.165265	14.07514	6527.708	202.4088	1.740883		
0	4	16S old 1_1	Sample17-Rep2	-1	10.90666	82.58791		0.9998301	33959.17	0.7177637	1.783028	FALSE	FALSE	FALSE	1.338728	LowEfficiency									12	7388.693	1.565941	13.96894	10019.87	-30.80481	2.356108		
0	8	16S old 1_1	Sample17-Rep3	-1	10.72854	82.7207		0.9996316	80796.45	0.7150708	1.843994	FALSE	FALSE	FALSE	1.000961										19	7579.201	1.486672	13.68642	9968.072	-5.622553	2.315188		
0	1	16S old 1_1	Sample18-Rep1	-1	11.68149	82.53841		0.9988366	221885.1	0.5927134	1.903984	FALSE	FALSE	FALSE	0.3164245										10	8436.429	1.418607	14.54974	9006.651	62.8632	2.06759		
0	5	16S old 1_1	Sample18-Rep2	-1	11.68247	82.53799		0.9997596	47132.83	0.7403765	1.834674	FALSE	FALSE	FALSE	0.5480084										16	7919.169	1.498076	14.65537	9714.608	24.60885	2.226721		
0	9	16S old 1_1	Sample18-Rep3	-1	11.54187	82.55986		0.9998206	37216.87	0.7711414	1.81831	FALSE	FALSE	FALSE	0.6988594										15	8014.595	1.518699	14.54193	10067.04	13.5577	2.256089		
0	2	16S old 1_1	Sample19-Rep1 	-1	10.92505	82.69041		0.9996256	83943.35	0.6901618	1.862828	FALSE	FALSE	FALSE	0.7693256										12	8020.78	1.464338	13.85352	9881.677	21.67913	2.232009		
0	6	16S old 1_1	Sample19-Rep2	-1	10.86575	82.56982		0.9997188	60726.77	0.7518884	1.786889	FALSE	FALSE	FALSE	1.349995	LowEfficiency									13	7573.533	1.560575	13.92097	10103.54	-2.535688	2.334059		
0	10	16S old 1_1	Sample19-Rep3	-1	10.82523	82.67729		0.9996871	70351.64	0.7468523	1.829147	FALSE	FALSE	FALSE	1.028772										16	7996.211	1.504955	13.80719	9926.446	22.28099	2.241394		
0	3	16S old 1_1	Sample20-Rep1	-1	10.9288	82.63202		0.999732	53797.86	0.7412314	1.792025	FALSE	FALSE	FALSE	1.206227	LowEfficiency									8	7899.931	1.553514	13.97471	9731.961	0.4918363	2.231905		
0	7	16S old 1_1	Sample20-Rep2	-1	10.79394	82.55767		0.9996672	72635.91	0.7201757	1.745293	FALSE	FALSE	FALSE	1.888282	LowEfficiency									14	7906.919	1.621169	13.92895	10175.82	5.94706	2.286951		
0	11	16S old 1_1	Sample20-Rep3	-1	10.93594	82.49973		0.9996649	81248.95	0.7193332	1.852139	FALSE	FALSE	FALSE	0.8392625										19	8561.884	1.476898	13.88095	10133.2	41.55344	2.183524		
43	12	A.baumannii_1535	Sample17-Rep1													"CtIsLarge, MultipleMeltPeaks"																	
43	16	A.baumannii_1535	Sample17-Rep2													"CtIsLarge, MultipleMeltPeaks"																	
43	20	A.baumannii_1535	Sample17-Rep3													"CtIsLarge, MultipleMeltPeaks"																	
43	13	A.baumannii_1535	Sample18-Rep1													"CtIsLarge, MultipleMeltPeaks"																	
43	17	A.baumannii_1535	Sample18-Rep2													"CtIsLarge, MultipleMeltPeaks"																	
43	21	A.baumannii_1535	Sample18-Rep3													"CtIsLarge, MultipleMeltPeaks"																	
43	14	A.baumannii_1535	Sample19-Rep1 	-1	32.11303	87.14852		0.999896	14985.83	0.6030092	1.926972	FALSE	FALSE	FALSE	1.34E-07	CtIsLarge									17	6532.768	1.39474	34.94984	10261.56	36.91316	2.570783		
43	18	A.baumannii_1535	Sample19-Rep2													"CtIsLarge, MultipleMeltPeaks"																	
43	22	A.baumannii_1535	Sample19-Rep3	-1	31.71657	86.49105		0.9998836	17979.85	0.624689	1.959639	FALSE	FALSE	FALSE	9.89E-08	CtIsLarge									9	6633.078	1.362682	34.51117	9869.545	42.31034	2.487928		
43	15	A.baumannii_1535	Sample20-Rep1													"CtIsLarge, MultipleMeltPeaks"																	
43	19	A.baumannii_1535	Sample20-Rep2													"CtIsLarge, MultipleMeltPeaks"																	
43	23	A.baumannii_1535	Sample20-Rep3													"CtIsLarge, MultipleMeltPeaks"																	
