Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
18	0	16S new 2_2	Sample1-Rep1													"LowEfficiency, CurveFitFailed"																	
18	4	16S new 2_2	Sample1-Rep2													"LowEfficiency, CurveFitFailed"																	
18	8	16S new 2_2	Sample1-Rep3													"LowEfficiency, CurveFitFailed"																	
18	1	16S new 2_2	Sample2-Rep1	-1	9.814209	83.70057		0.9977472	746488.1	0.6283309	2.220681	FALSE	FALSE	FALSE	0.248632										14	6029.131	1.164997	12.34846	9974.725	143.6822	2.654422		
18	5	16S new 2_2	Sample2-Rep2	-1	9.800824	83.64117		0.9977173	792119.2	0.6317045	2.263736	FALSE	FALSE	FALSE	0.2090062										8	6020.706	1.139775	12.30186	10176.82	145.622	2.690303		
18	9	16S new 2_2	Sample2-Rep3	-1	9.577207	83.60697		0.997518	712723.1	0.6135078	2.274143	FALSE	FALSE	FALSE	0.2169635										14	5871.855	1.133916	12.07053	9108.709	147.2018	2.551249		
18	2	16S new 2_2	Sample3-Rep1 	-1	9.592921	84.27591		0.9970146	999143.3	0.6187611	2.344269	FALSE	FALSE	FALSE	0.1657712										9	6491.006	1.096641	12.03715	9693.878	170.509	2.493432		
18	6	16S new 2_2	Sample3-Rep2	-1	9.501361	84.22908		0.9973426	907448.9	0.610147	2.295973	FALSE	FALSE	FALSE	0.2272136										15	6454.273	1.121912	11.97887	9851.273	168.0181	2.526318		
18	10	16S new 2_2	Sample3-Rep3	-1	9.436929	84.22973		0.997327	893268.5	0.598411	2.321685	FALSE	FALSE	FALSE	0.210368										12	6620.065	1.108245	11.89644	9658.655	174.7604	2.458997		
18	3	16S new 2_2	Sample4-Rep1	-1	9.702414	83.71163		0.9975871	779950	0.6282327	2.233883	FALSE	FALSE	FALSE	0.2495234										17	6011.026	1.157089	12.22625	9683.798	159.9234	2.611006		
18	7	16S new 2_2	Sample4-Rep2	-1	9.824774	83.64371		0.9975893	814198.7	0.6225971	2.224005	FALSE	FALSE	FALSE	0.2422655										13	5957.892	1.162991	12.35638	9966.253	158.198	2.672782		
18	11	16S new 2_2	Sample4-Rep3	-1	9.581548	83.61943		0.9971779	923603.9	0.6185691	2.263594	FALSE	FALSE	FALSE	0.2408492										7	6021.816	1.139855	12.08269	9668.603	165.3425	2.605596		
0	0	16S old 1_1	Sample1-Rep1	-1	23.28829	82.09327		0.9997846	17370.47	0.7769701	1.951868	FALSE	FALSE	FALSE	3.88E-05										18	4995.767	1.37012	26.09268	7244.411	-9.221422	2.45011		
