label	Group	numOtus	Otu001	Otu002	Otu003	Otu004	Otu005	Otu006	Otu007	Otu008	Otu009	Otu010	Otu011	Otu012	Otu013	Otu014	Otu015	Otu016	Otu017	Otu018	Otu019	Otu020	Otu021	Otu022	Otu023	Otu024	Otu025	Otu026	Otu027	Otu028	Otu029	Otu030	Otu031	Otu032	Otu033	Otu034	Otu035	Otu036	Otu037	Otu038	Otu039	Otu040	Otu041	Otu042	Otu043	Otu044	Otu045	Otu046	Otu047	Otu048	Otu049	Otu050	Otu051	Otu052	Otu053	Otu054	Otu055	Otu056	Otu057	Otu058	Otu059	Otu060	Otu061	Otu062	Otu063	Otu064	Otu065	Otu066	Otu067	Otu068	Otu069	Otu070	Otu071	Otu072	Otu073	Otu074	Otu075	Otu076	Otu077	Otu078	Otu079	Otu080	Otu081	Otu082	Otu083	Otu084	Otu085	Otu086	Otu087	Otu088	Otu089	Otu090	Otu091	Otu092	Otu093	Otu094	Otu095	Otu096	Otu097	Otu098	Otu099	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu122	Otu123	Otu124	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu134	Otu139	Otu141	Otu149	Otu158	Otu168	Otu171
1	040980_Sample00423	134	2707	416	432	389	103	361	1596	60	134	98	117	73	202	147	199	869	30	86	197	12	150	73	62	39	275	88	39	57	170	58	16	32	22	137	14	24	30	28	0	18	9	1	29	137	1	33	7	1	0	11	0	1	2	0	0	0	11	1	0	2	3	1	2	0	0	8	1	1	18	11	1	8	0	9	3	3	10	0	1	0	69	2	0	0	2	17	0	0	1	2	0	1	0	0	1	5	0	0	1	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	3	0	0	0
1	040981_Sample00424	134	2779	905	356	171	108	51	1036	71	493	178	208	113	584	0	166	147	184	452	584	0	172	117	190	2	114	0	73	2	0	32	23	47	39	0	99	0	123	18	13	4	4	0	21	15	18	6	34	0	0	0	3	5	17	0	0	1	7	0	0	3	0	0	0	1	0	0	4	3	0	0	0	5	2	2	0	0	0	0	2	0	152	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	1	0	0	0
1	040982_Sample00425	134	2211	376	351	626	53	822	514	39	136	140	307	21	305	6	95	1269	31	28	466	106	292	93	87	12	109	206	56	45	45	17	18	49	24	455	49	9	115	22	1	162	0	1	23	3	2	7	8	0	0	2	0	1	0	0	0	0	16	0	0	2	52	0	0	0	15	1	3	0	0	6	0	6	1	3	0	0	14	0	0	2	2	0	0	0	0	0	2	1	0	0	14	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
1	040983_Sample00426	134	3117	665	337	411	114	90	976	43	131	162	167	122	426	39	273	264	190	283	342	0	226	142	515	4	19	0	57	5	0	25	10	24	25	8	122	2	204	15	29	0	16	0	1	2	0	9	20	0	0	0	0	7	94	0	0	0	8	2	0	2	0	0	1	0	53	0	4	3	0	6	0	7	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	17	0	1	0	0	0	0	0	0
1	040984_Sample00427	134	2249	624	433	403	180	482	865	120	164	316	246	95	247	119	142	260	55	104	354	19	262	126	87	25	231	173	57	118	244	40	12	28	41	377	85	16	52	17	9	11	10	0	21	184	11	57	16	0	0	7	0	2	7	0	0	0	20	1	0	15	1	9	0	0	0	4	8	1	4	14	6	15	3	0	0	4	15	0	2	0	46	0	3	0	0	3	0	0	1	0	2	1	0	0	0	2	1	0	0	2	1	0	0	0	0	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	2	0	0
1	040985_Sample00428	134	1938	706	479	429	186	412	1013	95	227	217	176	82	496	21	69	811	64	67	416	29	204	81	197	52	152	98	53	139	109	56	12	41	68	71	159	18	155	37	1	39	6	2	38	50	6	2	15	0	0	9	0	5	0	0	0	1	24	1	0	5	1	0	0	5	0	0	15	4	6	1	1	10	1	15	0	0	24	0	2	2	36	1	1	0	0	4	0	0	0	0	1	0	0	2	0	1	5	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	2	0	4	0	0	0	1	1	0	0	5	0	0	1	0	1	0	0	0	0	0	0
1	040986_Sample00429	134	2371	564	286	367	142	517	975	52	133	388	100	252	355	333	191	703	49	133	43	9	337	127	31	6	153	6	29	36	1	41	6	24	151	240	29	8	155	11	1	27	38	0	16	149	19	20	19	0	1	20	0	5	15	0	0	0	10	0	0	3	0	0	0	1	49	14	4	4	0	9	4	8	3	0	0	4	14	0	2	0	155	0	4	1	0	0	0	1	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	1	0	1	4	1	0	0	0	0	1	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0
1	040988_Sample00431	134	2326	658	299	391	164	1160	428	46	91	382	258	65	304	58	46	967	28	59	147	78	219	90	207	6	83	88	53	56	4	23	9	21	73	523	88	6	78	8	1	41	8	0	24	10	2	17	9	0	0	0	0	1	3	0	0	0	22	5	0	13	9	0	0	0	103	5	6	2	0	1	5	16	0	36	1	0	13	0	3	1	27	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	3	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
1	040989_Sample00432	134	3160	387	277	422	89	673	856	30	241	640	377	15	237	8	54	505	37	36	542	20	295	133	95	6	101	94	120	52	0	11	6	40	16	14	65	2	44	10	1	19	14	0	12	3	44	0	11	0	1	0	0	4	7	0	0	0	31	1	0	1	0	0	0	2	40	0	5	16	0	0	0	5	0	9	0	0	11	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	1	0	0	0
1	040990_Sample00433	134	2299	582	454	412	178	286	246	63	160	249	314	107	316	159	97	451	30	102	931	2	225	139	386	23	204	189	44	94	107	66	19	50	16	123	245	32	90	34	15	54	15	1	58	35	12	24	14	0	0	6	0	0	9	0	1	0	18	1	0	9	10	0	0	0	2	12	8	0	7	1	0	10	1	0	3	1	25	0	0	0	71	0	0	0	1	5	2	0	0	2	1	2	3	0	0	4	0	0	0	0	4	0	0	0	18	0	1	0	0	0	0	0	4	0	2	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0
