label	Group	numOtus	Otu001	Otu002	Otu003	Otu004	Otu005	Otu006	Otu007	Otu008	Otu009	Otu010	Otu011	Otu012	Otu013	Otu014	Otu015	Otu016	Otu017	Otu018	Otu019	Otu020	Otu021	Otu022	Otu023	Otu024	Otu025	Otu026	Otu027	Otu028	Otu029	Otu030	Otu031	Otu032	Otu033	Otu034	Otu035	Otu036	Otu037	Otu038	Otu039	Otu040	Otu041	Otu042	Otu043	Otu044	Otu045	Otu046	Otu047	Otu048	Otu049	Otu050	Otu051	Otu052	Otu053	Otu054	Otu055	Otu056	Otu057	Otu058	Otu059	Otu060	Otu061	Otu062	Otu063	Otu064	Otu065	Otu066	Otu067	Otu068	Otu069	Otu070	Otu071	Otu072	Otu073	Otu074	Otu075	Otu076	Otu077	Otu078	Otu079	Otu080	Otu081	Otu082	Otu083	Otu084	Otu085	Otu086	Otu087	Otu088	Otu089	Otu090	Otu091	Otu092	Otu093	Otu094	Otu095	Otu096	Otu097	Otu098	Otu099	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu122	Otu123	Otu124	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu134	Otu135	Otu138	Otu139	Otu141	Otu149	Otu158	Otu168	Otu171
1	040885_WATER	137	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	216	29	16	0	0	0	0	0	0
1	040980_Sample00423	137	17500	2582	2799	2446	563	2249	10127	357	884	653	733	510	1268	909	1389	5564	249	499	1295	93	1040	439	462	204	1647	604	270	380	960	330	92	244	161	926	123	112	175	170	4	111	34	3	216	906	11	221	61	1	0	56	1	6	15	0	7	3	56	2	0	14	31	4	7	5	0	55	6	4	121	63	1	68	0	41	16	20	83	1	11	5	487	10	2	0	14	103	2	0	20	15	0	1	4	0	3	16	4	0	1	0	0	0	1	1	23	9	3	4	1	0	0	2	0	1	7	0	0	0	0	0	0	26	0	2	1	0	0	0	0	0	0	0	5	6	0	0	0
1	040981_Sample00424	137	13531	4374	1776	853	533	272	4977	360	2349	831	1102	659	2689	0	802	723	889	2235	2941	0	836	574	850	15	557	0	320	15	2	144	124	194	124	0	457	3	674	94	93	34	25	1	87	101	95	33	121	0	2	0	17	26	106	0	1	4	41	1	0	17	0	0	1	2	0	0	17	7	0	3	0	33	13	6	0	0	0	0	19	3	802	2	0	0	0	0	0	0	0	0	0	6	0	0	0	3	7	0	0	0	2	0	1	0	62	2	18	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	52	0	0	0	0	0	0	4	0	0	0
1	040982_Sample00425	137	3114	524	499	896	73	1149	725	55	206	192	425	28	438	8	120	1785	39	41	656	150	396	128	130	18	155	289	85	67	69	20	20	71	39	632	71	10	165	29	1	219	0	1	28	3	2	13	13	0	0	4	0	1	0	0	0	0	21	0	0	3	76	0	0	0	20	1	3	1	0	10	0	9	1	6	0	0	17	0	1	2	4	0	0	0	0	0	2	1	0	0	18	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	040983_Sample00426	137	3570	746	389	465	130	101	1123	46	150	187	196	139	472	41	308	306	211	332	389	0	262	158	580	4	20	0	60	8	0	26	11	29	29	8	141	2	234	18	30	0	16	0	3	2	0	12	23	0	0	0	0	9	104	0	0	0	8	2	0	3	0	0	1	0	60	0	5	3	0	9	0	11	0	0	0	0	0	0	1	0	169	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	17	0	1	0	0	0	0	0	0	0	0
1	040984_Sample00427	137	7092	1864	1243	1167	548	1517	2670	358	515	953	772	318	720	333	479	804	143	301	1030	66	783	373	264	76	690	533	163	383	753	125	33	112	128	1111	293	39	151	59	23	29	28	1	65	597	30	146	43	0	0	32	0	8	16	0	0	3	64	6	1	50	2	21	9	4	1	13	17	2	13	51	32	34	10	1	0	10	54	0	6	1	167	0	15	2	1	9	0	0	1	1	9	4	1	0	0	13	1	0	0	2	4	0	0	0	1	6	0	0	0	0	0	0	3	3	8	0	0	0	0	0	0	3	0	5	0	0	3	0	0	0	0	0	1	3	2	0	0
1	040985_Sample00428	137	3610	1299	866	789	352	768	1855	160	459	407	360	160	932	35	123	1518	112	141	766	49	413	140	383	98	263	208	92	257	209	97	28	81	134	136	281	32	283	59	2	64	16	2	76	83	7	3	32	0	0	16	0	12	1	0	0	2	40	1	0	19	3	0	0	6	1	0	24	9	13	5	1	18	1	27	0	0	38	0	3	2	63	2	1	0	1	15	0	0	0	0	1	0	0	4	0	2	6	0	0	0	0	0	0	0	12	1	1	1	0	0	0	0	4	0	6	0	0	0	0	1	1	0	0	7	0	0	2	0	1	0	0	0	0	0	0	0	0
1	040986_Sample00429	137	9569	2404	1150	1454	598	2129	3887	243	577	1528	398	989	1458	1349	686	2852	239	567	202	29	1428	530	173	25	662	20	137	164	5	152	26	105	648	1004	169	36	593	33	12	73	150	0	57	529	77	78	52	0	1	81	0	16	62	2	0	0	37	7	0	21	0	0	4	8	190	51	27	14	0	32	14	27	15	1	0	9	70	1	8	2	590	0	11	2	0	0	0	1	0	0	5	5	0	8	0	1	14	0	0	0	0	0	0	1	0	6	16	2	9	0	0	0	2	0	17	1	0	0	0	0	0	5	0	7	0	0	1	0	0	0	0	0	1	0	0	9	0
1	040987_Sample00430	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	040988_Sample00431	137	2662	740	350	451	181	1308	485	52	104	443	285	75	341	62	54	1095	33	67	170	87	255	103	234	9	97	103	57	65	4	30	11	22	84	594	104	6	96	8	2	46	8	0	27	10	2	21	10	0	0	0	0	1	3	0	0	0	28	5	0	13	9	0	0	0	120	5	8	2	0	1	6	18	0	41	1	0	15	0	4	1	30	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	4	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
