sample_id	pen	treatment
Sample2	3	ZnCu
Sample3	4	mushroom
Sample4	5	ZnCu
Sample5	7	negative-cntl
Sample6	9	negative-cntl
Sample7	10	carbadox
Sample8	11	negative-cntl
Sample9	13	carbadox
Sample10	14	ZnCu
Sample	15	mushroom
Sample12	16	carbadox
Sample13	17	mushroom
Sample14	18	ZnCu
Sample15	19	negative-cntl
Sample16	21	carbadox
Sample17	22	mushroom
Sample18	23	carbadox
Sample19	26	carbadox
Sample20	28	ZnCu
Sample21	29	negative-cntl
Sample22	30	mushroom
Sample23	31	negative-cntl
Sample24	32	ZnCu
