sample_id	sample_type	pen	project_name	treatment	sex
Sample00423	Fecal	2	CuZn	mushroom	male_female-pooled
Sample00424	Fecal	3	CuZn	ZnCu	male_female-pooled
Sample00425	Fecal	4	CuZn	mushroom	male_female-pooled
Sample00426	Fecal	5	CuZn	ZnCu	male_female-pooled
Sample00427	Fecal	7	CuZn	negative-cntl	male_female-pooled
Sample00428	Fecal	9	CuZn	negative-cntl	male_female-pooled
Sample00429	Fecal	10	CuZn	carbadox	male_female-pooled
Sample00430	Fecal	11	CuZn	negative-cntl	male_female-pooled
Sample00431	Fecal	13	CuZn	carbadox	male_female-pooled
Sample00432	Fecal	14	CuZn	ZnCu	male_female-pooled
Sample00433	Fecal	15	CuZn	mushroom	male_female-pooled
Sample00434	Fecal	16	CuZn	carbadox	male_female-pooled
Sample00435	Fecal	17	CuZn	mushroom	male_female-pooled
Sample00436	Fecal	18	CuZn	ZnCu	male_female-pooled
Sample00437	Fecal	19	CuZn	negative-cntl	male_female-pooled
Sample00438	Fecal	21	CuZn	carbadox	male_female-pooled
Sample00439	Fecal	22	CuZn	mushroom	male_female-pooled
Sample00440	Fecal	23	CuZn	carbadox	male_female-pooled
Sample00441	Fecal	26	CuZn	carbadox	male_female-pooled
Sample00442	Fecal	28	CuZn	ZnCu	male_female-pooled
Sample00443	Fecal	29	CuZn	negative-cntl	male_female-pooled
Sample00444	Fecal	30	CuZn	mushroom	male_female-pooled
Sample00445	Fecal	31	CuZn	negative-cntl	male_female-pooled
Sample00446	Fecal	32	CuZn	ZnCu	male_female-pooled
Sample00448	Fecal	1	CuZn	Mushroom-carbadox	male_female-pooled
Sample00449	Fecal	6	CuZn	Mushroom-carbadox	male_female-pooled
Sample00450	Fecal	12	CuZn	Mushroom-carbadox	male_female-pooled
Sample00451	Fecal	24	CuZn	Mushroom-carbadox	male_female-pooled
Sample00452	Fecal	20	CuZn	Mushroom-carbadox	male_female-pooled
Sample00453	Fecal	27	CuZn	Mushroom-carbadox	male_female-pooled
